year,school,over_500,srs,pace,o_rtg,3pa_rate,ts_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,orb_percent
2021-22,Southern California NCAA,TRUE,12.5,67.5,106.4,0.322,0.536,54.3,53.3,7.4,11.1,15.3,33.5
2021-22,SIU Edwardsville,FALSE,-10.37,69.1,96.6,0.35,0.504,51.4,51,10.2,11.1,18.4,34.1
2021-22,Southern Illinois,TRUE,2.83,62.9,101.7,0.422,0.545,49.6,52.2,8.7,6,16.3,22.7
2021-22,Southern Methodist,TRUE,11.14,69.5,105.8,0.422,0.555,50.5,55.3,9,10.4,15.6,27.6
2021-22,Southern Mississippi,FALSE,-13.58,68.3,93.7,0.303,0.505,48,50.7,7.3,8.1,17.3,23.6
2021-22,Southern Utah,TRUE,-1.51,70.8,108.3,0.408,0.561,53.4,43.9,8.4,6.9,15.5,28.7
2021-22,Southern,TRUE,-5.17,72.1,99.3,0.336,0.533,47.7,52.5,14.5,7.8,17.7,27.7
2021-22,St. Bonaventure,TRUE,8.27,66.2,105.2,0.315,0.536,50,52,9.5,14.9,13.7,26.9
2021-22,St. Francis (NY),FALSE,-13.49,68.2,97.7,0.366,0.496,49.4,47.9,9.7,6.6,15.4,30
2021-22,St. John's (NY),TRUE,11.95,74.2,106.4,0.324,0.53,49.3,61.9,11.8,14.5,13.7,30.7
2021-22,St. Thomas (MN),FALSE,-11.15,68.2,109.5,0.515,0.558,45.5,47.1,7.6,3.8,10.8,18
2021-22,Stanford,TRUE,6.27,66.8,99,0.387,0.522,55.1,54.4,8.3,7.6,19.1,33.8
2021-22,Stephen F. Austin,TRUE,2.43,71.9,103.3,0.309,0.552,51.9,54.8,12.6,11.9,19.6,34.5
2021-22,Stetson,FALSE,-10.34,67.5,101.6,0.41,0.525,51,56.2,10.3,8.4,16.4,29.6
2021-22,Stony Brook,TRUE,-6.63,68.6,106,0.403,0.539,48.8,42.5,9.7,8.1,13.5,27
2021-22,Syracuse,FALSE,10.12,68.5,110.9,0.392,0.555,49,52.7,10,11.6,13.3,29.2
2021-22,Tarleton State,FALSE,-3.18,65.7,97.8,0.304,0.511,47.1,49.5,11.6,7.4,16.2,28
2021-22,Temple,TRUE,4.61,67.1,98.6,0.382,0.495,51.7,52.7,10,12.6,15.7,32.7
2021-22,Tennessee-Martin,FALSE,-11.13,70.6,97.6,0.373,0.5,49.5,46.3,9.4,12.2,16.2,30.5
2021-22,Tennessee State,FALSE,-9.34,69.8,101.8,0.326,0.535,51.1,47.6,9.6,9.7,17.2,30.3
2021-22,Tennessee Tech,FALSE,-7.27,70.6,102.2,0.328,0.524,50.9,57.1,10.2,10,16,31.6
2021-22,Tennessee NCAA,TRUE,20.46,68.6,106.2,0.402,0.536,52.2,63,13.5,12.9,15.2,32.5
2021-22,Texas A&M-Corpus Christi NCAA,TRUE,-6.78,72.3,105.5,0.313,0.537,53,56,11.7,5.6,16.5,34.6
2021-22,Texas A&M,TRUE,12.93,68.6,104.7,0.342,0.533,50.5,52.3,14.3,9.9,16.1,34.3
2021-22,UT Arlington,FALSE,-5.49,66.5,97.6,0.346,0.505,50.1,57,11.4,12.2,17.4,31.6
2021-22,TCU NCAA,TRUE,13.72,67.2,101.1,0.317,0.516,56,53.8,9.5,11.2,17.9,37.8
